iter	Passed	Remaining
0	46	23011
1	83	20880
2	123	20485
3	160	19888
4	194	19239
5	232	19125
6	267	18846
7	315	19406
8	363	19826
9	403	19758
10	445	19816
11	480	19541
12	523	19612
13	557	19366
14	601	19436
15	636	19243
16	680	19338
17	719	19269
18	768	19457
19	831	19960
20	893	20378
21	950	20641
22	996	20671
23	1043	20699
24	1101	20923
25	1155	21063
26	1196	20965
27	1247	21024
28	1285	20870
29	1326	20776
30	1378	20858
31	1443	21116
32	1488	21064
33	1528	20945
34	1573	20905
35	1617	20841
36	1656	20733
37	1697	20631
38	1743	20605
39	1792	20609
40	1852	20734
41	1904	20768
42	1950	20726
43	2058	21335
44	2118	21416
45	2154	21267
46	2196	21166
47	2246	21150
48	2279	20981
49	2312	20816
50	2345	20645
51	2386	20561
52	2426	20462
53	2479	20475
54	2524	20425
55	2565	20341
56	2595	20174
57	2628	20034
58	2659	19875
59	2695	19766
60	2734	19679
61	2770	19569
62	2820	19563
63	2877	19606
64	2917	19524
65	2950	19404
66	2990	19326
67	3028	19241
68	3059	19113
69	3092	18998
70	3134	18940
71	3170	18845
72	3209	18770
73	3242	18667
74	3283	18609
75	3321	18532
76	3355	18433
77	3392	18353
78	3423	18244
79	3471	18223
80	3507	18146
81	3551	18103
82	3591	18045
83	3631	17985
84	3678	17959
85	3720	17908
86	3755	17829
87	3799	17789
88	3842	17744
89	3895	17747
90	3951	17761
91	4000	17740
92	4056	17752
93	4111	17757
94	4155	17715
95	4205	17699
96	4250	17661
97	4302	17648
98	4346	17607
99	4395	17580
100	4448	17574
101	4503	17574
102	4559	17572
103	4600	17516
104	4648	17488
105	4739	17616
106	4909	18033
107	5056	18353
108	5108	18326
109	5155	18279
110	5207	18249
111	5282	18301
112	5354	18337
113	5451	18457
114	5513	18457
115	5566	18426
116	5618	18391
117	5679	18387
118	5733	18356
119	5820	18432
120	5879	18414
121	5939	18403
122	6006	18409
123	6072	18413
124	6143	18429
125	6217	18454
126	6289	18471
127	6358	18479
128	6425	18478
129	6495	18487
130	6519	18363
131	6579	18342
132	6640	18324
133	6706	18318
134	6777	18323
135	6874	18398
136	6947	18407
137	7012	18393
138	7086	18404
139	7161	18414
140	7219	18381
141	7296	18396
142	7359	18372
143	7420	18344
144	7474	18298
145	7519	18232
146	7601	18255
147	7686	18282
148	7761	18284
149	7842	18298
150	7916	18296
151	7979	18268
152	8053	18265
153	8121	18245
154	8193	18237
155	8285	18270
156	8352	18248
157	8412	18209
158	8486	18201
159	8925	18967
160	8997	18946
161	9346	19500
162	9474	19588
163	9620	19711
164	9803	19903
165	10023	20166
166	10093	20126
167	10160	20078
168	10271	20116
169	10331	20054
170	10412	20033
171	10531	20082
172	10596	20028
173	10681	20013
174	10766	19995
175	10851	19975
176	10924	19935
177	11013	19924
178	11081	19872
179	11159	19838
180	11236	19803
181	11331	19799
182	11717	20297
183	11884	20409
184	11934	20321
185	12032	20312
186	12160	20354
187	12272	20367
188	12594	20725
189	12793	20874
190	12880	20837
191	12922	20729
192	13071	20792
193	13185	20797
194	13281	20773
195	13373	20742
196	13452	20690
197	13527	20632
198	13628	20614
199	13695	20543
200	13801	20530
201	14045	20720
202	14180	20747
203	14327	20789
204	14443	20784
205	14514	20714
206	14661	20752
207	14793	20768
208	14938	20798
209	15035	20762
210	15146	20745
211	15225	20683
212	15282	20591
213	15378	20553
214	15471	20508
215	15556	20453
216	15681	20450
217	15806	20446
218	15931	20441
219	16040	20415
220	16168	20412
221	16293	20404
222	16394	20364
223	16508	20340
224	16586	20272
225	16682	20225
226	16791	20194
227	16871	20126
228	16953	20062
229	17089	20061
230	17207	20038
231	17406	20107
232	17615	20185
233	17779	20210
234	17937	20227
235	18048	20189
236	18166	20159
237	18237	20076
238	18339	20027
239	18428	19963
240	18527	19910
241	18616	19847
242	18713	19792
243	19171	20114
244	19422	20215
245	19656	20295
246	19887	20370
247	20444	20773
248	20593	20758
249	21274	21274
250	21642	21469
251	21956	21607
252	22258	21730
253	22839	22120
254	23120	22213
255	23288	22197
256	23447	22170
257	23597	22134
258	23720	22072
259	24060	22209
260	24297	22249
261	24442	22203
262	24579	22149
263	24801	22171
264	25057	22220
265	25204	22172
266	25438	22199
267	25607	22167
268	25793	22149
269	25904	22066
270	26009	21978
271	26172	21938
272	26305	21873
273	26507	21863
274	26626	21785
275	26719	21685
276	27014	21747
277	27168	21695
278	27296	21621
279	27531	21631
280	27778	21649
281	27924	21586
282	28200	21623
283	28311	21532
284	28429	21446
285	28585	21389
286	28848	21410
287	29077	21404
288	29473	21518
289	29918	21665
290	30257	21731
291	30661	21840
292	30895	21827
293	31408	22006
294	31804	22101
295	32182	22179
296	32356	22115
297	32489	22023
298	32932	22138
299	33645	22430
300	33965	22455
301	34077	22342
302	34383	22355
303	34520	22256
304	34646	22150
305	34779	22050
306	34892	21935
307	35223	21957
308	35398	21880
309	35588	21812
310	36074	21923
311	36263	21851
312	36575	21851
313	37207	22040
314	37816	22209
315	38064	22163
316	38353	22141
317	38699	22149
318	38952	22101
319	39091	21988
320	39278	21903
321	39650	21918
322	39930	21881
323	40081	21772
324	40397	21752
325	40563	21650
326	40795	21583
327	40917	21456
328	41043	21332
329	41170	21208
330	41337	21105
331	41572	21036
332	41721	20923
333	42044	20896
334	42960	21159
335	43277	21123
336	43530	21055
337	43772	20979
338	43900	20849
339	44011	20711
340	44152	20587
341	44250	20443
342	44406	20326
343	44547	20201
